IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
84539,283485,322353,451139,390259,232771,254179,76687,174869,287245,398521,465321,365795,291055,203281,Unknown
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unknown
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unknown
111801,271761,310081,450031,411923,267865,259759,77997,183691,287113,390511,444573,342161,263503,168023,Unknown
1884153,3544459,5442821,8387619,8387715,6785873,3570623,1737173,2577215,4374425,8308727,8387635,8276335,5206123,2666095,Unknown
1882283,3508831,5431159,8387341,8388061,6635885,3490497,1713547,2553225,4348277,8324207,8387849,8212751,5096739,2617855,Unknown
1874387,3491505,5461443,8388303,8387889,6649121,3458029,1685483,2546517,4362375,8387615,8387941,8301395,5086425,2588897,Unknown
112635,279425,310593,459519,417109,264029,255687,79421,186231,284747,385749,450513,352291,268875,168717,Unknown
114791,251999,318261,489933,440503,262849,253841,71439,173715,258679,366951,432449,337789,242429,153063,Unknown
1123167,1916253,3270175,4967081,3244615,1645509,929167,314091,1453889,2693729,4489311,4764975,3021629,1519037,756585,Unknown
1079839,1821067,2762127,4156091,3280637,2060893,1189779,589437,1445113,2273851,3542163,3865711,2741787,1645749,888861,Unknown
1284291,1981131,2452821,4317163,4158615,1369117,902891,311495,1511269,2113637,3374721,4240401,2745701,1139571,611645,Unknown
2293917,3581965,8055653,8386703,8387737,8386971,4172361,4090753,2775789,5684821,8388429,8387183,8387761,8388427,4144907,Unknown
2382575,3569545,7443971,8388551,8386741,8387715,4565253,3966269,2764129,5354781,8387215,8388271,8387919,8387573,4256943,Unknown
2358633,3693019,8123125,8387487,8388303,8387605,4281385,3954153,2875343,5820965,8388197,8387453,8387945,8388267,4373633,Unknown
108859,270221,314465,473457,431363,272609,258591,75457,182501,287683,399691,464831,361785,275371,173663,Unknown
3019627,5446583,8387127,8385755,8385457,8384767,4585587,2363653,3814847,6247083,8340893,8316993,8304219,5741521,2388341,Unknown
2784183,5109815,8128535,8387655,8388257,8387311,4349709,2250623,3760821,6469997,8387585,8387649,8388591,6529871,3304417,Unknown
928571,1547455,2543999,4346613,3162335,1794421,793007,427689,637063,1160663,2315089,2942795,2235859,1238519,583721,Unknown
438997,739815,1233699,2165711,1755481,1090695,630451,306045,463541,848407,1672381,2089985,1553801,909999,482719,Unknown
132623,296939,356985,571943,520959,322619,295041,92605,202813,322779,470855,560301,435069,309885,187399,Unknown
1492541,2369671,3830869,5332029,4226067,1103475,591085,314347,1858787,3060581,4601045,4817069,2668945,846293,454415,Unknown
1497545,2336375,3762143,5105677,3749805,929023,516347,254881,1808001,2966035,4417461,4458045,2356277,726209,387771,Unknown
970889,1476943,2013723,2950415,2798535,593571,395747,164873,1128157,1607031,2317767,2769519,1655247,486727,276545,Unknown
143763,324271,390381,626265,578621,351687,271467,87569,219309,342479,498097,595497,459251,309271,180113,Unknown
548663,371047,495213,621717,564125,341027,320121,137781,238781,298437,380363,451709,352027,268161,174045,Unknown
69199,265879,297807,447055,412663,255363,247911,68679,168245,262201,368453,436007,337405,255285,167017,Unknown
105605,270215,316137,464993,414255,261103,257331,76313,180061,280513,381339,438487,340049,260441,165677,Unknown
234083,463193,696697,1374341,1172911,838199,462323,243571,330829,564089,1032759,1281847,1012633,654429,354419,Unknown
137035,327447,461599,800039,722647,462089,318845,120387,232129,393341,630185,757001,590893,392923,221885,Unknown
105765,268475,317105,478737,434053,279579,255437,75665,182349,279551,383979,445459,339791,255599,159491,Unknown
225005,513963,1037333,2386263,1903189,997211,563677,291543,363493,770117,1698885,2118653,1433109,762411,414257,Unknown
1346013,2452443,3952523,5552911,5332161,3128331,1641657,951217,1805255,3134181,4802201,5639407,4384985,2433441,1312105,HDPE
1291051,2309139,3639095,5302497,5398301,3245399,1552741,887965,1710189,2898555,4456443,5386563,4350733,2417377,1226971,HDPE
966743,1629259,2568755,3840495,4247811,2644151,1166469,741123,1291393,2208049,3353005,4199313,3580447,1959161,905101,HDPE
1253519,2190595,3405967,4833327,5052275,3262291,1477611,899745,1640567,2742193,4117555,4899745,4082847,2369535,1198359,HDPE
1090947,1853603,3033685,4365107,4309071,2306991,1024083,471051,1393741,2376909,3694915,4388423,3329987,1666183,752971,HDPE
1240397,2150929,3048175,3961897,3892137,2475081,1272375,696185,1634997,2594707,3481085,3759651,2042599,1127529,634795,HDPE
1214187,2067067,3403985,4718517,4216381,2385349,1233645,682759,1550875,2650167,4012527,4506615,3380829,1839405,972123,HDPE
1219499,2104655,3238517,4500057,4425501,2318143,1188865,566955,1573735,2588431,3775229,4438183,3470895,1837507,880697,HDPE
1115717,2089039,3397169,4187365,3906461,1731163,1251533,651635,1582837,2604145,3684093,4215055,2891421,1434785,959999,HDPE
1192603,2199161,3176487,4789923,4146171,1767037,1309997,800459,1620727,2597483,3752099,4275313,2898769,1496753,1057565,HDPE
995403,1885931,2359767,3914045,4433963,2288697,1449373,763367,1390889,2130053,3276311,4327961,3399787,1887709,1123559,HDPE
1587985,2736847,4473045,6148327,6255325,3472153,1812033,1023649,2042539,3498337,5278469,6241667,4915801,2674947,1425557,HDPE
1647291,2886153,4611597,6565739,6780841,3699945,1893841,1083681,2115671,3589997,5479693,6661975,5269663,2829473,1486027,HDPE
1586595,2743879,4553267,6449825,6347343,3323081,1763351,957087,2052249,3549111,5480361,6414105,4834433,2557175,1366343,HDPE
1622905,2819009,4486761,6278295,6617073,3738887,1852595,1044557,2103151,3552595,5364855,6491413,5204759,2810395,1456743,HDPE
2083653,3736989,5346275,7298207,7769079,4420351,2508123,1225251,2753543,4414703,6301493,7588383,6135153,3483881,1876159,HDPE
1499557,2539403,4158515,5862055,5787851,3047609,1704941,894379,1913107,3263471,5000015,5868839,4442647,2388893,1306015,HDPE
1578153,2696561,4437987,6196043,6211089,3354477,1752443,917193,2027021,3479977,5296955,6232755,4804723,2568593,1342447,HDPE
1728821,2996367,4980249,6669303,7261271,3956065,2120971,1185705,2243303,3891769,5825493,7046773,5664767,3061943,1665221,HDPE
1707809,2942069,4928225,6879791,7096269,3858645,2091343,1134355,2201953,3830089,5884389,7035923,5508097,2993221,1622881,HDPE
1463883,2523461,4162653,5779197,6168829,3391623,1835947,1057465,1870699,3197375,4780931,5689241,4490641,2435049,1309155,HDPE
1339449,2277283,3284441,4391423,4483383,2687119,1512739,788687,1669579,2697659,3839805,4475713,3604591,2111211,1157695,HDPE
1368465,2407509,3600687,4646589,4729671,2685775,1517157,777179,1790529,2925353,4113435,4728819,3744043,2120383,1150049,HDPE
1600727,2823055,4368783,5740757,5799575,3094511,1790587,939223,2097745,3498857,5031373,5802561,4471751,2456073,1371895,HDPE
1497895,2687709,4224537,5342077,5445633,3257067,1904103,998065,1979563,3361305,4767177,5442903,4407041,2622423,1471855,HDPE
