IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
869361,1483879,2889589,1087809,2104097,HDPE
898613,1528067,2946365,1120691,2149779,HDPE
976119,1658999,2891831,1218105,2187363,HDPE
871969,1490323,2614357,1093301,1976045,HDPE
1367857,2395733,3976695,1738113,3056341,HDPE
894919,1462319,2788107,1089867,2046127,HDPE
906133,1545077,2716367,1134209,2047063,HDPE
1134479,2024143,3424007,1455741,2615651,HDPE
962371,1646807,2886951,1206425,2177769,HDPE
891185,1417615,2535043,1061447,1889385,HDPE
871335,1616961,2981605,1142549,2194435,HDPE
1014493,1733079,2967987,1269107,2258321,HDPE
1473349,2528719,4392079,1835427,3306093,HDPE
925957,1718551,3164321,1223193,2345985,HDPE
1365153,2405241,4044733,1741295,3094869,HDPE
1176119,2166373,3504409,1543803,2716951,HDPE
1029685,1875561,3180855,1344681,2428665,HDPE
1038937,1886735,3172003,1352001,2430285,HDPE
1039413,1767453,3030183,1297803,2304275,HDPE
1214433,2115779,3487363,1538651,2689779,HDPE
1008349,1730301,2917335,1266089,2231993,HDPE
954805,1600067,2728715,1180813,2080227,HDPE
1001953,1718299,2947061,1258691,2238989,HDPE
1051385,1788765,3021939,1312375,2312017,HDPE
1324147,2309699,3910583,1682137,2989387,HDPE
1006411,1710121,3016115,1257595,2272625,HDPE
1344265,2300673,3855597,1731141,3029467,HDPE
545041,943371,1549715,697597,1172783,HDPE
559085,905601,1216261,679327,1022593,HDPE
1338549,2322969,3931675,1694155,3005095,HDPE
1390885,2404253,4083357,1753435,3117081,HDPE
1474067,2448443,4047545,1813013,3119183,HDPE
1505609,2518805,4140693,1858013,3199291,HDPE
958323,1613425,2977113,1187399,2205035,HDPE
1446609,2449355,4052293,1803993,3123173,HDPE
841431,1420345,2638353,1044661,1954549,HDPE
851563,1434843,2971477,1053727,2077223,HDPE
970695,1648535,2896231,1206921,2182269,HDPE
832895,1515375,2871771,1088085,2113451,HDPE
859863,1456041,2683607,1038131,1935035,HDPE
1007075,1721031,3002291,1262685,2269883,HDPE
1012295,1729471,2946813,1267139,2247781,HDPE
986901,1676249,3016811,1230949,2256015,HDPE
1432871,2451849,4190161,1794345,3191117,HDPE
1001127,1691211,2960873,1243703,2233465,HDPE
1014641,1721011,3045225,1264075,2287601,HDPE
870045,1479429,2495375,1084067,1909297,HDPE
1063219,1804231,3097747,1326243,2356541,HDPE
907315,1584445,2829799,1148203,2114223,HDPE
1500751,2512795,3966785,1852257,3107753,HDPE
1572361,2691877,4633921,1970767,3505453,HDPE
1387311,2341471,3831527,1720707,2958273,HDPE
934349,1546291,2922465,1145205,2147603,HDPE
1601651,2775521,4624565,2020885,3550029,HDPE
847369,1492437,2833097,1077549,2075277,HDPE
879049,1415181,2840967,1059677,2045823,HDPE
1434361,2412063,4031971,1775877,3091753,HDPE
1012461,1736111,3002827,1270301,2277705,HDPE
1248609,2056101,3536827,1523429,2682033,HDPE
1425523,2407189,4156453,1770789,3145177,HDPE
1036779,1756537,3024955,1292917,2289395,HDPE
1418437,2437041,4135027,1780741,3160259,HDPE
1397389,2388517,4005995,1756871,3084469,HDPE
1018999,1687955,3003941,1261165,2254249,HDPE
1433571,2445563,3931603,1790963,3059077,HDPE
917235,1635605,2900489,1182145,2181535,HDPE
1334307,2297519,3711801,1678541,2886537,HDPE
1356047,2275519,3867175,1680949,2949311,HDPE
1302489,2251721,3857417,1645189,2937509,HDPE
1031957,1754467,3011073,1288721,2291257,HDPE
994785,1688899,2919793,1243199,2216237,HDPE
1486789,2511701,4124283,1846389,3189405,HDPE
1494531,2544605,4310483,1867783,3293285,HDPE
1233823,2148435,3552479,1562623,2740465,HDPE
1465617,2554497,4218399,1860273,3252271,HDPE
1010513,1700091,2938551,1254191,2229255,HDPE
1473919,2558863,4470539,1864451,3377551,HDPE
954885,1626469,2923557,1194469,2184447,HDPE
1057875,1727947,3273053,1285243,2412855,HDPE
1306503,2233821,3640965,1638611,2822011,HDPE
1560367,2690339,4551541,1966201,3478099,HDPE
1136647,1880097,3443843,1395529,2559995,HDPE
1581921,2486855,3888315,1876499,3053059,HDPE
