IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
84539,283485,322353,174869,287245,Unknown
-1,-1,-1,-1,-1,Unknown
-1,-1,-1,-1,-1,Unknown
111801,271761,310081,183691,287113,Unknown
1884153,3544459,5442821,2577215,4374425,Unknown
1882283,3508831,5431159,2553225,4348277,Unknown
1874387,3491505,5461443,2546517,4362375,Unknown
112635,279425,310593,186231,284747,Unknown
114791,251999,318261,173715,258679,Unknown
1123167,1916253,3270175,1453889,2693729,Unknown
1079839,1821067,2762127,1445113,2273851,Unknown
1284291,1981131,2452821,1511269,2113637,Unknown
2293917,3581965,8055653,2775789,5684821,Unknown
2382575,3569545,7443971,2764129,5354781,Unknown
2358633,3693019,8123125,2875343,5820965,Unknown
108859,270221,314465,182501,287683,Unknown
3019627,5446583,8387127,3814847,6247083,Unknown
2784183,5109815,8128535,3760821,6469997,Unknown
928571,1547455,2543999,637063,1160663,Unknown
438997,739815,1233699,463541,848407,Unknown
132623,296939,356985,202813,322779,Unknown
1492541,2369671,3830869,1858787,3060581,Unknown
1497545,2336375,3762143,1808001,2966035,Unknown
970889,1476943,2013723,1128157,1607031,Unknown
143763,324271,390381,219309,342479,Unknown
548663,371047,495213,238781,298437,Unknown
69199,265879,297807,168245,262201,Unknown
105605,270215,316137,180061,280513,Unknown
234083,463193,696697,330829,564089,Unknown
137035,327447,461599,232129,393341,Unknown
105765,268475,317105,182349,279551,Unknown
225005,513963,1037333,363493,770117,Unknown
1346013,2452443,3952523,1805255,3134181,Rec
1291051,2309139,3639095,1710189,2898555,Rec
966743,1629259,2568755,1291393,2208049,Rec
1253519,2190595,3405967,1640567,2742193,Rec
1090947,1853603,3033685,1393741,2376909,Rec
1240397,2150929,3048175,1634997,2594707,Rec
1214187,2067067,3403985,1550875,2650167,Rec
1219499,2104655,3238517,1573735,2588431,Rec
1115717,2089039,3397169,1582837,2604145,Rec
1192603,2199161,3176487,1620727,2597483,Rec
995403,1885931,2359767,1390889,2130053,Rec
1587985,2736847,4473045,2042539,3498337,Rec
1647291,2886153,4611597,2115671,3589997,Rec
1586595,2743879,4553267,2052249,3549111,Rec
1622905,2819009,4486761,2103151,3552595,Rec
2083653,3736989,5346275,2753543,4414703,Rec
1499557,2539403,4158515,1913107,3263471,Rec
1578153,2696561,4437987,2027021,3479977,Rec
1728821,2996367,4980249,2243303,3891769,Rec
1707809,2942069,4928225,2201953,3830089,Rec
1463883,2523461,4162653,1870699,3197375,Rec
1339449,2277283,3284441,1669579,2697659,Rec
1368465,2407509,3600687,1790529,2925353,Rec
1600727,2823055,4368783,2097745,3498857,Rec
1497895,2687709,4224537,1979563,3361305,Rec
1628643,2813427,4318879,2103833,3467541,Rec
1431971,2580723,3900155,1918645,3212299,Rec
1036255,1708157,2387269,1287333,1994827,Rec
1066203,1784913,2507321,1349853,2099103,Rec
1192805,2096177,3341749,1558067,2651575,Rec
1009269,1805447,2942391,1404217,2455993,Rec
1191595,1919299,2870801,1470109,2326713,Rec
1078757,1743123,2486615,1335147,2052229,Rec
1249247,2075197,3231677,1582673,2688703,Rec
1448511,2411347,3817823,1829463,3029653,Rec
1023865,1665383,2491653,1279789,2023187,Rec
949269,1546375,2243235,1173357,1841317,Rec
1039163,1740671,2684853,1292883,2064219,Rec
1037207,1705381,2754701,1296327,2164875,Rec
1381651,2345547,3695281,1766311,2933539,Rec
1120285,1836005,2952207,1494871,2519127,Rec
1548903,2384021,3797747,1802007,2920609,Rec
1765771,2750297,4076995,2142407,3379103,Rec
1705461,2763837,4243445,2113961,3413253,Rec
1708667,2774971,4262681,2117023,3415947,Rec
1163015,1852457,3141433,1443759,2442487,Rec
1570757,2630019,4074215,1988625,3258847,Rec
1792133,3007647,4641037,2261265,3703689,Rec
1705847,2855701,4432037,2158141,3540549,Rec
1789161,2988821,4597039,2255445,3679199,Rec
1761539,3061757,4972089,2284141,3909279,Rec
1830529,3096163,5026815,2334865,3956185,Rec
